Product Name|Product Category|Project Image|Description|Reference|Product Details|Recipe|Use & Care|Related Products|prodNO
Product Name|Product Category|Project Image|Description|Reference|Product Details|Recipe|Use & Care|Related Products|prodNO
Gourmet Citrus Juicer|Kitchen Gadgets |||J100-00102|Industrial Strength Cast Iron<br>Stainless Steel Strainer<br>Extra Suction Feet<br>Comes in Gift Box<br>Black, Yellow & Orange Options|||Hand Squeezers<br>Other Juicer|product101
Green Lime Squeezer|Kitchen Gadgets |||J100-00285|Made of Aluminum <br>Green|||Gourmet Juicers<br>Molcajetes|product102
12" Wood Cooking Utensils |Kitchen Gadgets |||J100-5-5024<br>J100-5-5022|Made of Wood <br>12" <br>Large Serving Spoon <br>Small Cooking Paddle|||Bamboo cooking tools<br>Beech wood Cooking Tools |product103
50 Pack Corn Skewers|Kitchen Gadgets |||J100-5-5030|Pack of 50|||Bamboo Skewers|product104
Wood Tostonera in Small & Jumbo |Kitchen Gadgets |||J100-5-5045<br>J100-5-5040|Available in 2 Sizes:<br>Made of Wood|||Mariquitera|product105
Wood Mariquitera & Plantain Slicer|Kitchen Gadgets |||J100-HW-01W|Made of Wood |||Tostonera<br>Salsa Bowl |product106
Wood Mortar & Pestle in Small & Large|Kitchen Gadgets |||LIS-003<br>LIS-005W|Available in 2 Sizes:<br>Made of Wood|||Molcajetes<br>Other Salsa Dishes|product107
Tortilla Warmer 7" in Black|Kitchen Gadgets |||MEXI-01043|7" Circumference<br>Made of Plastic <br>Black|||Tortilla Presses & other Warmers|product108
7" Multicolor Tortilla Warmer |Kitchen Gadgets |||MEXI-01043W|7" Circumference|||Tortilla Presses & other Warmers|product109
Sunburst Cloth Tortilla Warmer 12" |Kitchen Gadgets |||MEXI-10004|12" Circumference<br>Machine Washable<br>Red & Orange with Sunburst Design|||Other Warmers & Presses|product110
Red Pepper Cloth Tortilla Warmer 12" |Kitchen Gadgets |||MEXI-10005|12" Circumference<br>Machine Washable<br>Red & Yellow with Pepper Design|||Other Warmers & Presses|product111
Tortilla Warmer in Terracotta|Kitchen Gadgets |||MEXI-1000-TORTW|7" Circumference <br>Made of Plastic<br>Terracotta|||Tortilla Presses & other Warmers|product112
10oz Salsa Dish in Blue, Red, Orange & Green |Kitchen Gadgets |||MEXI-2000|10oz Capacity<br>Made of Plastic<br>Blue, Red, Orange & Green |||Molcajetes<br>Other Salsa Dishes|product113
3 Pack Multicolor Salsa Dish |Kitchen Gadgets |||MEXI-2001|Made of Plastic<br>Red, Orange & Green|||Molcajetes<br>Other Salsa Dishes|product114
Lava Rock Molcajete with Gift box|Kitchen Gadgets |||MEXI-2008|2 Piece Mortar & Pestle<br>Made of Lava Rock<br>Comes in Gift Box|||Tortilla Press<br>Juicers|product115
Granite Molcajete with Gift box|Kitchen Gadgets |||MEXI-2011M|2 Piece Mortar & Pestle<br>Made of Granite<br>Comes in Gift Box|||Tortilla Press<br>Juicers|product116
